sector,sub_classification,budget_2025_26,revised_2025_26,budget_2026_27,unit
Education,Pre and Primary Education Affairs Services,5841,5904,6275,Million
Education,Secondary Education Affairs & Services,14420,14704,16015,Million
Education,Tertiary Education Affairs and Services,82012,83569,84462,Million
Education,Education Services not definable by Level,3738,4014,3878,Million
Education,Subsidiary Services to Education,392,406,410,Million
Education,Administration,4825,4457,5224,Million
Education,Education Affairs Services not elsewhere classified,1455,55973,1484,Million
Health,Medical Products Appliances and Equipment,32,33,38,Million
Health,Hospital Services,24035,24547,28779,Million
Health,Public Health Services,1139,30813,1204,Million
Health,Health Administration,6768,4851,7417,Million
Environment,Pollution Abatement,2155,1655,1155,Million
Environment,Administration of Environment Protection,1013,1085,1251,Million